text,intent
"what time is it in punta gorda, florida",time
"what time is it in glenwood springs, co",time
"what time is it in fredericksburg, tx",time
"what time is it in las vegas, nv",time
"what time is it in houston, tx",time
i need to know the current time in the central timezone,time
would you tell me the current time in the eastern timezone,time
let me know the current time in the central timezone,time
tell me what time it is in the central timezone,time
i am needing to know the current time in the eastern timezone,time
what is the time right now in the hst timezone,time
can you tell me the current time,time
what is the current time in cst,time
i need to know what time it is in florida,time
what is the time right now,time
"in the mst time zone, what time is it right now",time
tell me what time it is right now,time
can you tell me the current time in the pacific timezone,time
look up the time in california,time
what is the current est time,time
can you tell me what time it is please,time
what time is it getting to be,time
what time do you have on your watch,time
what time would it be in rome right now,time
what's the time in london,time
what's the time set to in florida right now,time
what time is it currently in istanbul,time
what time is it right now in paris,time
what's the time right now,time
"current time, please",time
would you mind telling me the time,time
can you give me the time,time
please let me know what time it is,time
what is the exact time right now in the hawaii time zone,time
what is the time,time
what is the time right now in the peruvian time zone,time
what is the exact time,time
what time is it exactly in the new zealand time zone,time
what is the exact time in the ist time zone,time
what is the time in the utc timezone,time
what time is it exactly,time
what is the time now,time
what time is it in russia,time
what time is it,time
"what is the time in sydney, australia",time
what time is it in honolulu,time
what's the current time in greenwhich,time
what's the current time in est,time
what time is it on the pacific coast right now,time
"given my time, what time is it in mst",time
have you the time,time
when is it right now,time
what hour and minute is it,time
what time is it right now in cst,time
what time is it in the eastern standard timezone,time
what time is it in the pacific standard timezone,time
what time is it in the alaska standard timezone,time
what time is it in the central standard timezone,time
what time is it in the mountain standard timezone,time
now what is the time,time
at the moment what is the time,time
i want to know the time,time
what time is it now,time
do you know the current time in southern california,time
what is the current time in china,time
what is the current time in mexico city,time
what is the current time in new york,time
what is the current time in istanbul,time
what time is it in buenos aires,time
what time is it in north korea,time
what does it say on the clock,time
"in tokyo, what's the time",time
"in tokyo, what time is it",time
what's the time in tokyo,time
time in tokyo,time
what time is it in tokyo,time
the time please,time
i want to know what time it is,time
can you tell me the time,time
i would like to know the time,time
i need to know the time,time
the current time,time
"in the eastern timezone, what time is it now",time
"in the central timezone, what time is it",time
what's the current time now cst,time
"in pacific time, what's the current time",time
what time is it now pacific time,time
"what is the current time, please",time
"what's the current time, please",time
"what is the time, please",time
how is the time,time
please tell me the time,time
what time is it in london,time
what time is it in new york,time
what time is it in paris,time
what time is it in daniel boone national forest timezone,time
what is the time in atlantic timezone,time
what's the time in anchorage timezone,time
"in bst timezone, what time is it",time
do you have the time,time
delete fries from shopping list,shopping_list_update
take off fries from the shopping list,shopping_list_update
please take away the fries from the shopping list,shopping_list_update
remove fries from my shopping list,shopping_list_update
we no longer need fries on the shopping lisr,shopping_list_update
"cross out bananas from my shopping list and put papayas on it, please",shopping_list_update
i need to delete tomatoes from my shopping list and add onions instead,shopping_list_update
can you add carrots to my shopping list and delete potatoes,shopping_list_update
please remove ginger ale from my shopping list and add root beer,shopping_list_update
"go ahead and erase cashews from my list, and add walnuts to it, please",shopping_list_update
add eggs to my shopping list and remove cheese,shopping_list_update
add corn to my shopping list and remove wine,shopping_list_update
add flour to my shopping list if it's not already on it,shopping_list_update
take bread off my shopping list and add milk,shopping_list_update
